student_id,exercise_id,category,order,score,pass_status,grade,sex,mean_perception,time_spent,total_attempts,cumulative_passes,pass_rate
10,M3S201g,Multiplication,7,1,Pass,3,Boy,2.6,37.186018861814915,1,6,0.8571428571428571
10,M3S201h,Multiplication,8,1,Pass,3,Boy,2.6,17.653916935483522,1,7,0.875
10,M3S201i,Multiplication,9,1,Pass,3,Boy,2.6,16.796922359665132,1,8,0.8888888888888888
10,M3S201j,Multiplication,10,1,Pass,3,Boy,2.6,28.999092175467144,1,9,0.9
10,M3S202,Subtraction,11,3,Pass,3,Boy,2.6,58.832336266699656,1,10,0.9090909090909091
10,M3S203,Division,12,1,Pass,3,Boy,2.6,8.424065657688722,1,11,0.9166666666666666
10,M3S501,Geometry,13,1,Pass,3,Boy,2.6,40.011197379493396,1,12,0.9230769230769231
10,M3S601,Data_Analysis,14,1,Pass,3,Boy,2.6,40.454786539459555,1,13,0.9285714285714286
10,M3S301,Missing_Numbers,15,0,Fail,3,Boy,2.6,45.95827680086012,1,13,0.8666666666666667
10,M3S204,Addition,16,4,Pass,3,Boy,2.6,58.98534445379127,1,14,0.875
10,M3S205,Subtraction,17,3,Pass,3,Boy,2.6,43.28831118333978,1,15,0.8823529411764706
10,M3S101,Word_Problems,18,2,Pass,3,Boy,2.6,9.132329111413782,1,16,0.8888888888888888
10,M3S206,Subtraction,19,3,Pass,3,Boy,2.6,59.75773548838817,1,17,0.8947368421052632
10,M3S207,Multiplication,20,4,Pass,3,Boy,2.6,23.760204823738004,1,18,0.9
10,M3S502,Geometry,21,2,Pass,3,Boy,2.6,19.637162045849152,1,19,0.9047619047619048
10,M3S302,Missing_Numbers,22,2,Pass,3,Boy,2.6,51.58448527510466,1,20,0.9090909090909091
10,M3S102,Logical_Reasoning,23,1,Pass,3,Boy,2.6,18.695652099378776,1,21,0.9130434782608695
10,M3S208,Division,24,3,Pass,3,Boy,2.6,35.21215026403532,1,22,0.9166666666666666
10,M3S602,Coding,25,0,Fail,3,Boy,2.6,48.0407388483412,1,22,0.88
11,M3S201a,Multiplication,1,1,Pass,3,Boy,3.2,11.078281210343974,1,1,1.0
11,M3S201b,Multiplication,2,1,Pass,3,Boy,3.2,38.768658279776965,1,2,1.0
11,M3S201c,Multiplication,3,1,Pass,3,Boy,3.2,23.427859682296077,1,3,1.0
11,M3S201d,Multiplication,4,0,Fail,3,Boy,3.2,9.199891087580507,1,3,0.75
11,M3S201e,Multiplication,5,1,Pass,3,Boy,3.2,37.31252670584157,1,4,0.8
11,M3S201f,Multiplication,6,1,Pass,3,Boy,3.2,33.691795241080186,1,5,0.8333333333333334
11,M3S201g,Multiplication,7,1,Pass,3,Boy,3.2,6.003631875836248,1,6,0.8571428571428571
11,M3S201h,Multiplication,8,0,Fail,3,Boy,3.2,54.30969876599935,1,6,0.75
11,M3S201i,Multiplication,9,1,Pass,3,Boy,3.2,28.241966796183807,1,7,0.7777777777777778
11,M3S201j,Multiplication,10,1,Pass,3,Boy,3.2,38.58159238055891,1,8,0.8
11,M3S202,Subtraction,11,3,Pass,3,Boy,3.2,48.931607826815785,1,9,0.8181818181818182
11,M3S203,Division,12,3,Pass,3,Boy,3.2,32.34285251598111,1,10,0.8333333333333334
11,M3S501,Geometry,13,4,Pass,3,Boy,3.2,56.30050391176659,1,11,0.8461538461538461
11,M3S601,Data_Analysis,14,0,Fail,3,Boy,3.2,23.412088571786814,1,11,0.7857142857142857
11,M3S301,Missing_Numbers,15,3,Pass,3,Boy,3.2,50.293161294934826,1,12,0.8
11,M3S204,Addition,16,4,Pass,3,Boy,3.2,48.67106288479785,1,13,0.8125
11,M3S205,Subtraction,17,4,Pass,3,Boy,3.2,52.04079603566907,1,14,0.8235294117647058
11,M3S101,Word_Problems,18,1,Pass,3,Boy,3.2,15.79939814513559,1,15,0.8333333333333334
11,M3S206,Subtraction,19,2,Pass,3,Boy,3.2,45.4689507066249,1,16,0.8421052631578947
11,M3S207,Multiplication,20,4,Pass,3,Boy,3.2,13.946248845536099,1,17,0.85
11,M3S502,Geometry,21,2,Pass,3,Boy,3.2,56.52529876529123,1,18,0.8571428571428571
11,M3S302,Missing_Numbers,22,2,Pass,3,Boy,3.2,59.34464350965256,1,19,0.8636363636363636
11,M3S102,Logical_Reasoning,23,1,Pass,3,Boy,3.2,54.24962168455264,1,20,0.8695652173913043
11,M3S208,Division,24,3,Pass,3,Boy,3.2,53.40594511071006,1,21,0.875
